167.234.14.243 - - [24/Apr/2017:05:52:46 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508945 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:47 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508946 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:47 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508947 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:48 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508948 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:48 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508949 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:48 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508950 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:49 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508951 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:49 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508952 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:50 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508953 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:50 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508954 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:50 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508955 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:51 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508956 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:51 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508957 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:52 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508958 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:52 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508959 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:53 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508960 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:53 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508961 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:53 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508962 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:54 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508963 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:54 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508964 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:55 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508965 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:55 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508966 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:56 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508967 HTTP/1.1" 200 11094
167.234.14.243 - - [24/Apr/2017:05:52:56 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508968 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:57 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508969 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:57 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508970 HTTP/1.1" 200 11091
167.234.14.243 - - [24/Apr/2017:05:52:57 -0400] "GET /jenkins/updateCenter/installStatus?_=1493027508971 HTTP/1.1" 200 11094
